giftid,giftname,giftvalue,creator,status,createtime,modifiedtime
60014,house - lego,120,321,closed,2024/4/21 19:07,2024/4/21 19:36
60016,Simpson Building ,50,321,closed,2024/5/3 12:22,2024/5/3 12:22
60017,LEGO Stitch,80,321,closed,2024/5/3 12:23,2024/5/5 20:30
60018,Burger Food Plush,30,321,open,2024/5/3 12:46,2024/5/3 12:46
60019,Ladybug Plush,40,321,open,2024/5/3 12:47,2024/5/3 12:47
60020,Simpsons Level Pack - LETO,60,321,open,2024/5/3 12:47,2024/5/3 12:47
60021,Vinyl Glitter Sticky,10,321,open,2024/5/3 12:47,2024/5/3 12:47
60022,Birthday Cake Toy,50,321,open,2024/5/3 12:48,2024/5/3 12:48
60023,Collectible - LEGO,50,321,open,2024/5/3 12:48,2024/5/3 12:48
60024,Face - toy,10,321,open,2024/5/3 12:49,2024/5/3 12:49
